      Step     Time          Energy          fmax
FIRE:    0 12:42:29    -2038.452026        0.808330
FIRE:    1 12:42:30    -2038.548706        0.523294
FIRE:    2 12:42:30    -2038.675781        0.318791
FIRE:    3 12:42:31    -2038.762695        0.493825
FIRE:    4 12:42:32    -2038.804199        0.538218
FIRE:    5 12:42:32    -2038.826172        0.404148
FIRE:    6 12:42:32    -2038.833130        0.379865
FIRE:    7 12:42:32    -2038.845459        0.339774
FIRE:    8 12:42:32    -2038.861328        0.283001
FIRE:    9 12:42:32    -2038.876343        0.213401
FIRE:   10 12:42:32    -2038.889648        0.136042
FIRE:   11 12:42:32    -2038.899048        0.110604
FIRE:   12 12:42:32    -2038.905518        0.120979
FIRE:   13 12:42:32    -2038.908936        0.148725
FIRE:   14 12:42:32    -2038.912842        0.186559
FIRE:   15 12:42:32    -2038.919189        0.191793
FIRE:   16 12:42:32    -2038.927124        0.161226
FIRE:   17 12:42:33    -2038.937622        0.111577
FIRE:   18 12:42:33    -2038.947144        0.092331
FIRE:   19 12:42:33    -2038.954102        0.102241
FIRE:   20 12:42:33    -2038.956055        0.138553
FIRE:   21 12:42:33    -2038.957153        0.129411
FIRE:   22 12:42:33    -2038.958496        0.111754
FIRE:   23 12:42:33    -2038.959961        0.086857
FIRE:   24 12:42:33    -2038.961182        0.056601
FIRE:   25 12:42:33    -2038.962402        0.043896
