      Step     Time          Energy          fmax
FIRE:    0 12:43:07    -3829.116455        0.438595
FIRE:    1 12:43:07    -3829.250244        0.392427
FIRE:    2 12:43:07    -3829.440674        0.309007
FIRE:    3 12:43:07    -3829.594482        0.214049
FIRE:    4 12:43:07    -3829.676025        0.337512
FIRE:    5 12:43:07    -3829.709229        0.310076
FIRE:    6 12:43:08    -3829.736572        0.201558
FIRE:    7 12:43:08    -3829.743896        0.194681
FIRE:    8 12:43:08    -3829.757812        0.181322
FIRE:    9 12:43:08    -3829.775635        0.162279
FIRE:   10 12:43:08    -3829.794922        0.138700
FIRE:   11 12:43:08    -3829.812744        0.112176
FIRE:   12 12:43:08    -3829.827393        0.085560
FIRE:   13 12:43:08    -3829.837891        0.084534
FIRE:   14 12:43:08    -3829.845703        0.083767
FIRE:   15 12:43:09    -3829.851562        0.100101
FIRE:   16 12:43:09    -3829.857422        0.099148
FIRE:   17 12:43:09    -3829.865234        0.084318
FIRE:   18 12:43:09    -3829.875000        0.083568
FIRE:   19 12:43:09    -3829.885986        0.078903
FIRE:   20 12:43:09    -3829.896973        0.072485
FIRE:   21 12:43:09    -3829.906982        0.077501
FIRE:   22 12:43:09    -3829.915527        0.054732
FIRE:   23 12:43:10    -3829.920898        0.047381
