      Step     Time          Energy          fmax
FIRE:    0 12:43:00     -358.297729        0.114474
FIRE:    1 12:43:00     -358.302643        0.113807
FIRE:    2 12:43:00     -358.312134        0.112489
FIRE:    3 12:43:00     -358.325623        0.110554
FIRE:    4 12:43:00     -358.343658        0.108053
FIRE:    5 12:43:00     -358.364380        0.105048
FIRE:    6 12:43:00     -358.388306        0.101610
FIRE:    7 12:43:00     -358.413910        0.097828
FIRE:    8 12:43:00     -358.444061        0.093343
FIRE:    9 12:43:00     -358.478577        0.088148
FIRE:   10 12:43:00     -358.516266        0.082270
FIRE:   11 12:43:00     -358.556641        0.075760
FIRE:   12 12:43:00     -358.599335        0.068661
FIRE:   13 12:43:01     -358.642792        0.060963
FIRE:   14 12:43:01     -358.686920        0.052556
FIRE:   15 12:43:01     -358.731384        0.044573
