      Step     Time          Energy          fmax
FIRE:    0 12:43:57    -3786.437256        0.373839
FIRE:    1 12:43:57    -3786.515625        0.339861
FIRE:    2 12:43:57    -3786.658447        0.286747
FIRE:    3 12:43:58    -3786.788574        0.213501
FIRE:    4 12:43:58    -3786.875244        0.169420
FIRE:    5 12:43:58    -3786.918457        0.187305
FIRE:    6 12:43:58    -3786.937988        0.204808
FIRE:    7 12:43:58    -3786.942627        0.196937
FIRE:    8 12:43:58    -3786.951416        0.181620
FIRE:    9 12:43:58    -3786.962891        0.159701
FIRE:   10 12:43:58    -3786.975830        0.132444
FIRE:   11 12:43:59    -3786.988525        0.101466
FIRE:   12 12:43:59    -3787.004639        0.075467
FIRE:   13 12:43:59    -3787.013428        0.068335
FIRE:   14 12:43:59    -3787.020996        0.073373
FIRE:   15 12:43:59    -3787.026611        0.084226
FIRE:   16 12:43:59    -3787.031982        0.090282
FIRE:   17 12:43:59    -3787.033203        0.089000
FIRE:   18 12:43:59    -3787.040771        0.079386
FIRE:   19 12:43:59    -3787.050049        0.065745
FIRE:   20 12:44:00    -3787.064453        0.058193
FIRE:   21 12:44:00    -3787.073486        0.061060
FIRE:   22 12:44:00    -3787.081055        0.055156
FIRE:   23 12:44:00    -3787.081055        0.046040
