      Step     Time          Energy          fmax
FIRE:    0 12:44:09    -8079.115723        0.723583
FIRE:    1 12:44:09    -8079.748535        0.499801
FIRE:    2 12:44:09    -8080.602051        0.445711
FIRE:    3 12:44:09    -8081.275391        0.652120
FIRE:    4 12:44:10    -8081.708496        0.603151
FIRE:    5 12:44:10    -8082.019043        0.391673
FIRE:    6 12:44:10    -8082.270508        0.455383
FIRE:    7 12:44:10    -8082.488770        0.520377
FIRE:    8 12:44:11    -8082.666992        0.376766
FIRE:    9 12:44:11    -8082.792480        0.406461
FIRE:   10 12:44:11    -8082.902832        0.381360
FIRE:   11 12:44:11    -8083.015625        0.414536
FIRE:   12 12:44:12    -8083.095703        0.244631
FIRE:   13 12:44:12    -8083.139160        0.193535
FIRE:   14 12:44:12    -8083.208496        0.179965
FIRE:   15 12:44:12    -8083.279297        0.161414
FIRE:   16 12:44:13    -8083.342773        0.168563
FIRE:   17 12:44:13    -8083.395996        0.133304
FIRE:   18 12:44:13    -8083.439453        0.094959
FIRE:   19 12:44:13    -8083.475098        0.104014
FIRE:   20 12:44:13    -8083.508789        0.112035
FIRE:   21 12:44:14    -8083.537598        0.086104
FIRE:   22 12:44:14    -8083.560059        0.084465
FIRE:   23 12:44:14    -8083.574219        0.140930
FIRE:   24 12:44:14    -8083.585938        0.088632
FIRE:   25 12:44:15    -8083.590332        0.087122
FIRE:   26 12:44:15    -8083.598633        0.084123
FIRE:   27 12:44:15    -8083.606934        0.079660
FIRE:   28 12:44:15    -8083.618164        0.073783
FIRE:   29 12:44:16    -8083.628906        0.066643
FIRE:   30 12:44:16    -8083.639648        0.058466
FIRE:   31 12:44:16    -8083.649414        0.049665
