      Step     Time          Energy          fmax
FIRE:    0 12:42:34     -436.606537        0.177136
FIRE:    1 12:42:34     -436.624512        0.175930
FIRE:    2 12:42:34     -436.660767        0.173518
FIRE:    3 12:42:34     -436.713867        0.169898
FIRE:    4 12:42:34     -436.782227        0.165068
FIRE:    5 12:42:34     -436.862946        0.159047
FIRE:    6 12:42:34     -436.953491        0.151878
FIRE:    7 12:42:34     -437.052307        0.143627
FIRE:    8 12:42:34     -437.167175        0.133369
FIRE:    9 12:42:34     -437.294586        0.120877
FIRE:   10 12:42:34     -437.431580        0.106007
FIRE:   11 12:42:34     -437.571747        0.088719
FIRE:   12 12:42:34     -437.687225        0.071845
FIRE:   13 12:42:34     -437.780396        0.055386
FIRE:   14 12:42:34     -437.852112        0.048666
