      Step     Time          Energy          fmax
FIRE:    0 12:43:16    -8133.060547        0.644643
FIRE:    1 12:43:16    -8133.366699        0.489412
FIRE:    2 12:43:16    -8133.802734        0.340406
FIRE:    3 12:43:17    -8134.177734        0.345482
FIRE:    4 12:43:17    -8134.439453        0.341439
FIRE:    5 12:43:17    -8134.606445        0.290640
FIRE:    6 12:43:17    -8134.695801        0.251896
FIRE:    7 12:43:18    -8134.733398        0.272421
FIRE:    8 12:43:18    -8134.750488        0.264167
FIRE:    9 12:43:18    -8134.775879        0.248339
FIRE:   10 12:43:18    -8134.814941        0.226071
FIRE:   11 12:43:19    -8134.858398        0.198882
FIRE:   12 12:43:19    -8134.898438        0.175441
FIRE:   13 12:43:19    -8134.937500        0.170403
FIRE:   14 12:43:19    -8134.972656        0.169407
FIRE:   15 12:43:20    -8134.999512        0.169052
FIRE:   16 12:43:20    -8135.026367        0.165116
FIRE:   17 12:43:20    -8135.037109        0.160989
FIRE:   18 12:43:20    -8135.050781        0.151434
FIRE:   19 12:43:21    -8135.064941        0.135852
FIRE:   20 12:43:21    -8135.084961        0.120603
FIRE:   21 12:43:21    -8135.115723        0.121611
FIRE:   22 12:43:21    -8135.152344        0.110227
FIRE:   23 12:43:22    -8135.187500        0.095555
FIRE:   24 12:43:22    -8135.215332        0.077999
FIRE:   25 12:43:22    -8135.234863        0.075808
FIRE:   26 12:43:22    -8135.246582        0.081513
FIRE:   27 12:43:23    -8135.252441        0.066943
FIRE:   28 12:43:23    -8135.256836        0.056150
FIRE:   29 12:43:23    -8135.262207        0.063271
FIRE:   30 12:43:23    -8135.273438        0.071859
FIRE:   31 12:43:24    -8135.274902        0.061959
FIRE:   32 12:43:24    -8135.275879        0.042883
