      Step     Time          Energy          fmax
FIRE:    0 12:43:24     -436.606567        0.177136
FIRE:    1 12:43:24     -436.624512        0.175930
FIRE:    2 12:43:24     -436.660828        0.173518
FIRE:    3 12:43:24     -436.713837        0.169898
FIRE:    4 12:43:24     -436.782227        0.165068
FIRE:    5 12:43:24     -436.862946        0.159047
FIRE:    6 12:43:25     -436.953491        0.151878
FIRE:    7 12:43:25     -437.052307        0.143627
FIRE:    8 12:43:25     -437.167206        0.133369
FIRE:    9 12:43:25     -437.294617        0.120877
FIRE:   10 12:43:25     -437.431580        0.106007
FIRE:   11 12:43:25     -437.571747        0.088719
FIRE:   12 12:43:25     -437.687225        0.071844
FIRE:   13 12:43:25     -437.780396        0.055386
FIRE:   14 12:43:25     -437.852112        0.048666
