      Step     Time          Energy          fmax
FIRE:    0 16:39:17    -2201.781250        1.434070
FIRE:    1 16:39:17    -2201.890381        1.195207
FIRE:    2 16:39:17    -2202.066895        0.965036
FIRE:    3 16:39:17    -2202.271484        0.841740
FIRE:    4 16:39:17    -2202.489502        0.826405
FIRE:    5 16:39:17    -2202.722168        0.816777
FIRE:    6 16:39:17    -2202.967773        0.744754
FIRE:    7 16:39:17    -2203.215820        0.633529
FIRE:    8 16:39:17    -2203.484375        0.566141
FIRE:    9 16:39:17    -2203.750732        0.532550
FIRE:   10 16:39:17    -2204.000977        0.537315
FIRE:   11 16:39:18    -2204.222900        0.810976
FIRE:   12 16:39:18    -2204.427734        1.154511
FIRE:   13 16:39:18    -2204.647949        0.814237
FIRE:   14 16:39:18    -2204.851318        0.565908
FIRE:   15 16:39:18    -2205.019775        0.569173
FIRE:   16 16:39:18    -2205.172119        0.667745
FIRE:   17 16:39:18    -2205.317383        0.501982
FIRE:   18 16:39:18    -2205.447021        0.286013
FIRE:   19 16:39:18    -2205.563232        0.382036
FIRE:   20 16:39:18    -2205.659180        0.394757
FIRE:   21 16:39:18    -2205.730225        0.783322
FIRE:   22 16:39:18    -2205.814941        0.612210
FIRE:   23 16:39:18    -2205.884521        0.606691
FIRE:   24 16:39:19    -2205.954834        0.842589
FIRE:   25 16:39:19    -2206.049805        0.455695
FIRE:   26 16:39:19    -2206.131836        0.310536
FIRE:   27 16:39:19    -2206.207764        0.377603
FIRE:   28 16:39:19    -2206.288574        0.202379
FIRE:   29 16:39:19    -2206.359131        0.194134
FIRE:   30 16:39:19    -2206.433594        0.236089
FIRE:   31 16:39:19    -2206.514648        0.173492
FIRE:   32 16:39:19    -2206.591553        0.228207
FIRE:   33 16:39:19    -2206.671387        0.297167
FIRE:   34 16:39:19    -2206.756836        0.248897
FIRE:   35 16:39:20    -2206.842529        0.298148
FIRE:   36 16:39:20    -2206.934814        0.343740
FIRE:   37 16:39:20    -2207.034180        0.377818
FIRE:   38 16:39:20    -2207.135498        0.357112
FIRE:   39 16:39:20    -2207.233887        0.276913
FIRE:   40 16:39:20    -2207.318604        0.150952
FIRE:   41 16:39:20    -2207.385498        0.197639
FIRE:   42 16:39:20    -2207.436523        0.336690
FIRE:   43 16:39:20    -2207.479004        0.564206
FIRE:   44 16:39:20    -2207.532715        0.583394
FIRE:   45 16:39:20    -2207.594238        0.404321
FIRE:   46 16:39:20    -2207.648682        0.287338
FIRE:   47 16:39:20    -2207.700928        0.362639
FIRE:   48 16:39:21    -2207.754395        0.293315
FIRE:   49 16:39:21    -2207.811279        0.185755
FIRE:   50 16:39:21    -2207.867920        0.156016
FIRE:   51 16:39:21    -2207.924316        0.203406
FIRE:   52 16:39:21    -2207.982422        0.187917
FIRE:   53 16:39:21    -2208.041016        0.116429
FIRE:   54 16:39:21    -2208.099609        0.101669
FIRE:   55 16:39:21    -2208.154785        0.119422
FIRE:   56 16:39:21    -2208.209473        0.128377
FIRE:   57 16:39:21    -2208.265381        0.115217
FIRE:   58 16:39:21    -2208.324707        0.094722
FIRE:   59 16:39:22    -2208.381348        0.083441
FIRE:   60 16:39:22    -2208.436035        0.069351
FIRE:   61 16:39:22    -2208.489990        0.075196
FIRE:   62 16:39:22    -2208.541992        0.085021
FIRE:   63 16:39:22    -2208.593750        0.067962
FIRE:   64 16:39:22    -2208.645508        0.064074
FIRE:   65 16:39:22    -2208.696045        0.062504
FIRE:   66 16:39:22    -2208.747559        0.062008
FIRE:   67 16:39:22    -2208.798096        0.069611
FIRE:   68 16:39:22    -2208.848633        0.054666
FIRE:   69 16:39:22    -2208.897461        0.052438
FIRE:   70 16:39:22    -2208.946777        0.050620
FIRE:   71 16:39:22    -2208.995850        0.043533
