filename,n_atoms,dft_total_energy,mace_total_energy,dft_cohesive,mace_cohesive,error
out_Resta,776,-337213.82680695347,-337209.9375,-4203.4115448045195,-4199.515625,3.895919804519508
out_Resta,448,-180163.35091015222,-180158.9375,-2212.601740628772,-2208.1845703125,4.41717031627195
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425,1330,-602113.427009719,-602109.9375,-7561.0573316963855,-7557.55712890625,3.5002027901355177
out_Resta,436,-170953.69331050405,-170955.171875,-2067.582029207144,-2069.05712890625,-1.4750996991060674
out_Resta,436,-170949.5867177436,-170948.625,-2063.4754364466935,-2062.51025390625,0.965182540443493
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125,1402,-645665.8207893062,-645647.0625,-8258.844111129874,-8240.07373046875,18.770380661124364
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800,448,-180153.97347711268,-180156.28125,-2203.224307589233,-2205.5283203125,-2.3040127232670784
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200,776,-337202.9952892009,-337189.46875,-4192.5800270519685,-4179.046875,13.5331520519685
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375,740,-315529.2837580364,-315525.125,-3946.1719959643087,-3942.00732421875,4.164671745558735
out_Resta,436,-170974.49093291664,-170971.3125,-2088.3796516197326,-2085.19775390625,3.1818977134826127
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000,448,-180140.7981118271,-180132.90625,-2190.0489423036634,-2182.1533203125,7.8956219911633525
out_Resta,448,-180180.18419508115,-180185.046875,-2229.435025557701,-2234.2939453125,-4.85891975479899
out_Resta,448,-180111.1265747355,-180107.359375,-2160.377405212057,-2156.6064453125,3.770959899557056
out_Resta,430,-169315.83250149994,-169321.78125,-2078.735082014784,-2084.680419921875,-5.945337907091016
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300,448,-180176.13271120252,-180176.203125,-2225.383541679068,-2225.4501953125,-0.06665363343199715
mace_FT_it0_Split17_Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1600,448,-180176.0366344789,-180174.625,-2225.287464956782,-2223.8720703125,1.4153946442820597
mace_FT_it0_Split17_Li_LLZO_110_ct-Li5La2Zr4O8_opp-Li3La2O10_side-bottom_var01,816,-344900.3923310069,-344908.8125,-4259.616043228831,-4268.029296875,-8.413253646169323
mace_FT_it0_Split17_Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_4700,1402,-645497.3307663103,-645473.4375,-8090.354088139138,-8066.44873046875,23.905357670388184
mace_FT_it0_Split17_Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_2800,752,-318828.4056161521,-318816.71875,-3947.266130458971,-3935.5732421875,11.69288827147102
mace_FT_it0_Split17_Li_LLZO_011_ct-Li6La4O9_opp-Li3La1O5_side-bottom_var01,776,-337260.8744609426,-337259.4375,-4250.4591987959575,-4249.015625,1.4435737959574908
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775,752,-318812.61349705467,-318807.96875,-3931.474011359038,-3926.8232421875,4.650769171537831
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600,430,-169321.85181292222,-169324.390625,-2084.7543934370624,-2087.289794921875,-2.53540148481261
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500,448,-180119.53185436607,-180119.671875,-2168.7826848426193,-2168.9189453125,-0.13626046988065355
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25,740,-315528.23147757887,-315528.90625,-3945.119715506793,-3945.78857421875,-0.6688587119570002
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50,776,-337273.46062426735,-337270.34375,-4263.045362118399,-4259.921875,3.1234871183987707
mace_FT_it0_Split17_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_4800,436,-170950.47591421125,-170949.171875,-2064.3646329156763,-2063.05712890625,1.3075040094263386
