filename,n_atoms,dft_cohesive_eV,mace_cohesive_eV,energy_error_meV,force_mae_meV_A,force_rmse_meV_A,force_max_meV_A
completed_Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T550K_3675,776,-4203.4115448045195,-4199.734375,3677.169804519508,58.11876712837158,84.97976957548029,555.6001551571655
completed_Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_125,448,-2212.601740628772,-2207.8720703125,4729.67031627195,41.351618508825794,64.06773318632438,499.99604531433107
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425,1330,-7561.0573316963855,-7557.86962890625,3187.7027901355177,54.33218666697776,78.55364526511657,701.0430752838134
completed_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_2200,436,-2067.582029207144,-2069.24462890625,-1662.5996991060674,52.39518222281718,73.01134795452164,396.5602435978699
completed_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_3800,436,-2063.4754364466935,-2062.68212890625,793.307540443493,50.43376507894348,72.64309281376376,421.42123165161127
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125,1402,-8258.844111129874,-8240.76123046875,18082.880661124364,48.82204568071815,79.93288156059756,572.2944542724608
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800,448,-2203.224307589233,-2205.7158203125,-2491.5127232670784,55.94472221520722,79.97033539168436,527.2923552967834
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200,776,-4192.5800270519685,-4179.046875,13533.1520519685,44.78918046132906,64.760590029475,438.6085286224366
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375,740,-3946.1719959643087,-3941.85107421875,4320.921745558735,46.99569874601279,68.7546325935545,355.41897764831543
completed_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_350,436,-2088.3796516197326,-2085.13525390625,3244.3977134826127,48.3449781854686,77.61891970045114,423.87322189422605
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000,448,-2190.0489423036634,-2182.2939453125,7754.9969911633525,47.144104401920025,73.19216404087683,495.3426568359376
completed_Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_25,448,-2229.435025557701,-2234.3876953125,-4952.66975479899,37.99875690575939,53.44555190825703,328.53573622131324
completed_Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_12100,448,-2160.377405212057,-2156.4970703125,3880.334899557056,54.40422776303352,80.54140218964494,524.0335725380135
completed_Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75,430,-2078.735082014784,-2084.680419921875,-5945.337907091016,44.946693178697565,65.02753040820014,382.462763894043
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300,448,-2225.383541679068,-2225.2626953125,120.84636656800285,45.546783587563894,66.1440469277549,359.5787135422516
mace_FT_it0_Split17_Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1600,448,-2225.287464956782,-2223.8720703125,1415.3946442820597,53.76206557751133,93.58745537803654,802.3956607148742
mace_FT_it0_Split17_Li_LLZO_110_ct-Li5La2Zr4O8_opp-Li3La2O10_side-bottom_var01,816,-4259.616043228831,-4267.654296875,-8038.2536461693235,50.21700116746164,94.36575685223745,652.1882474823188
mace_FT_it0_Split17_Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_4700,1402,-8090.354088139138,-8066.57373046875,23780.357670388184,74.21465168700347,115.11242298562297,829.1903521057127
mace_FT_it0_Split17_Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_2800,752,-3947.266130458971,-3935.6357421875,11630.38827147102,42.97879982893789,62.65342908671738,371.90469845329284
mace_FT_it0_Split17_Li_LLZO_011_ct-Li6La4O9_opp-Li3La1O5_side-bottom_var01,776,-4250.4591987959575,-4248.640625,1818.5737959574908,59.08685310696579,104.50724666794402,653.3091990039063
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775,752,-3931.474011359038,-3926.3544921875,5119.519171537831,53.29845221753752,75.88820317970531,387.9347393441772
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600,430,-2084.7543934370624,-2087.274169921875,-2519.77648481261,42.90751100033256,62.37890861391277,365.5530414743805
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500,448,-2168.7826848426193,-2169.1064453125,-323.76046988065355,58.17023344346207,86.425185684878,459.410935888672
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25,740,-3945.119715506793,-3945.63232421875,-512.6087119570002,49.65953672898969,72.30739301964275,449.3848910357665
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50,776,-4263.045362118399,-4260.140625,2904.7371183987707,49.48184509282944,79.18201511875115,583.1094272276307
mace_FT_it0_Split17_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_4800,436,-2064.3646329156763,-2063.15087890625,1213.7540094263386,64.56789687761871,104.85503028967045,604.1061882990264
