filename,n_atoms,dft_cohesive_eV,mace_cohesive_eV,energy_error_meV,force_mae_meV_A,force_rmse_meV_A,force_max_meV_A
mace_FT_it0_Split17_Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1600,448,-2225.287464956782,-2223.9970703125,1290.3946442820597,75.7382437683962,144.54727091217455,1030.3182791040038
mace_FT_it0_Split17_Li_LLZO_110_ct-Li5La2Zr4O8_opp-Li3La2O10_side-bottom_var01,816,-4259.616043228831,-4263.123046875,-3507.0036461693235,107.63535189049303,212.28877361015103,1455.0259367114259
mace_FT_it0_Split17_Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_4700,1402,-8090.354088139138,-8090.07373046875,280.3576703881845,110.70095514708112,183.48065267596087,1331.1307632650755
mace_FT_it0_Split17_Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_2800,752,-3947.266130458971,-3947.9794921875,-713.3617285289802,57.13476380589178,90.64245569997634,595.432891628952
mace_FT_it0_Split17_Li_LLZO_011_ct-Li6La4O9_opp-Li3La1O5_side-bottom_var01,776,-4250.4591987959575,-4253.390625,-2931.426204042509,118.26846365194424,246.4818324740094,2157.0446283093265
mace_FT_it0_Split17_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_4800,436,-2064.3646329156763,-2068.10400390625,-3739.3709905736614,90.05560185124052,164.4456512077525,1171.5636473495483
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500,448,-2168.7826848426193,-2168.7001953125,82.48953011934645,49.88265109185867,74.02524070244222,370.62806101043697
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50,776,-4263.045362118399,-4259.140625,3904.7371183987707,30.022555972491222,42.121895265528615,213.4312149093629
completed_Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75,430,-2078.735082014784,-2081.008544921875,-2273.462907091016,29.53890431594993,39.03100426394044,175.0645815676879
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300,448,-2225.383541679068,-2222.9970703125,2386.471366568003,31.915133473193787,44.071742072014004,276.71213123382563
