filename,n_atoms,dft_cohesive_eV,mace_cohesive_eV,energy_error_meV,force_mae_meV_A,force_rmse_meV_A,force_max_meV_A
mace_FT_it0_Split17_Li_LLZO_110_ct-Li5La2Zr4O8_opp-Li3La2O10_side-bottom_var01,816,-4259.616043228831,-4262.591796875,-2975.7536461693235,107.63534032241233,212.28879481573532,1455.0245061999512
mace_FT_it0_Split17_Li_LLZO_011_ct-Li6La4O9_opp-Li3La1O5_side-bottom_var01,776,-4250.4591987959575,-4253.546875,-3087.676204042509,118.26849305081313,246.4818419386523,2157.0446283093265
mace_FT_it0_Split17_Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1600,448,-2225.327382842661,-2222.7783203125,2549.0625301608816,75.98469027398504,144.8838069152633,1034.1760579166412
mace_FT_it0_Split17_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_4800,436,-2048.415466193459,-2049.76025390625,-1344.7877127910033,86.50076307637438,157.40321853864418,1032.2146707754516
mace_FT_it0_Split17_Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_2800,752,-3935.4445736738853,-3936.6982421875,-1253.6685136146843,56.972266727640836,88.98609473644933,540.8423316542817
mace_FT_it0_Split17_Li_111_slab__LLZO_110_Zr_bestgap_2.50A_r_T1100K_4700,1402,-8089.903809133684,-8088.76123046875,1142.5786649342626,111.40814769879753,185.13372885463912,1333.9061849877928
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500,448,-2168.7826848426193,-2168.7001953125,82.48953011934645,49.88264968898474,74.0252453673882,370.627524568634
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50,776,-4263.045362118399,-4259.109375,3935.9871183987707,30.022519905444316,42.12185380000761,213.4324070022584
completed_Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75,430,-2078.735082014784,-2081.008544921875,-2273.462907091016,29.538850042946404,39.03094429869907,175.06470077697745
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300,448,-2225.383541679068,-2222.9970703125,2386.471366568003,31.91518499858058,44.07187042181234,276.7127272802734
