      Step     Time          Energy          fmax
FIRE:    0 16:39:23    -2334.089111        0.624551
FIRE:    1 16:39:24    -2334.130127        0.487946
FIRE:    2 16:39:24    -2334.185791        0.467253
FIRE:    3 16:39:24    -2334.236084        0.436422
FIRE:    4 16:39:24    -2334.281250        0.409073
FIRE:    5 16:39:24    -2334.327881        0.384873
FIRE:    6 16:39:24    -2334.367188        0.304071
FIRE:    7 16:39:24    -2334.402588        0.266425
FIRE:    8 16:39:24    -2334.440186        0.274717
FIRE:    9 16:39:24    -2334.481689        0.340873
FIRE:   10 16:39:24    -2334.523682        0.351401
FIRE:   11 16:39:25    -2334.576660        0.318295
FIRE:   12 16:39:25    -2334.638672        0.334083
FIRE:   13 16:39:25    -2334.717041        0.366089
FIRE:   14 16:39:25    -2334.816895        0.423537
FIRE:   15 16:39:25    -2334.936279        0.497706
FIRE:   16 16:39:25    -2335.071045        0.588729
FIRE:   17 16:39:25    -2335.226318        0.717455
FIRE:   18 16:39:25    -2335.405029        0.827171
FIRE:   19 16:39:25    -2335.598877        0.804411
FIRE:   20 16:39:25    -2335.776611        0.661165
FIRE:   21 16:39:26    -2335.933594        0.496629
FIRE:   22 16:39:26    -2336.081543        0.453816
FIRE:   23 16:39:26    -2336.182129        1.028801
FIRE:   24 16:39:26    -2336.281738        1.180834
FIRE:   25 16:39:26    -2336.423584        0.676604
FIRE:   26 16:39:26    -2336.553223        1.009214
FIRE:   27 16:39:26    -2336.706055        0.562989
FIRE:   28 16:39:26    -2336.845215        0.398465
FIRE:   29 16:39:26    -2336.960205        0.353705
FIRE:   30 16:39:26    -2337.057129        0.491701
FIRE:   31 16:39:27    -2337.121094        1.074501
FIRE:   32 16:39:27    -2337.218506        0.661605
FIRE:   33 16:39:27    -2337.309326        0.930592
FIRE:   34 16:39:27    -2337.425537        0.816221
FIRE:   35 16:39:27    -2337.535400        0.527912
FIRE:   36 16:39:27    -2337.623535        0.313711
FIRE:   37 16:39:27    -2337.686279        0.269125
FIRE:   38 16:39:27    -2337.731689        0.383196
FIRE:   39 16:39:27    -2337.785400        0.350038
FIRE:   40 16:39:28    -2337.819824        0.267791
FIRE:   41 16:39:28    -2337.787598        1.061344
FIRE:   42 16:39:28    -2337.848389        0.845097
FIRE:   43 16:39:28    -2337.900391        0.503749
FIRE:   44 16:39:28    -2337.924316        0.147375
FIRE:   45 16:39:28    -2337.925293        0.129379
FIRE:   46 16:39:28    -2337.927490        0.124014
FIRE:   47 16:39:28    -2337.930176        0.123672
FIRE:   48 16:39:28    -2337.932861        0.123358
FIRE:   49 16:39:28    -2337.938232        0.123190
FIRE:   50 16:39:29    -2337.939453        0.123278
FIRE:   51 16:39:29    -2337.943359        0.123716
FIRE:   52 16:39:29    -2337.950195        0.124656
FIRE:   53 16:39:29    -2337.953369        0.126268
FIRE:   54 16:39:29    -2337.963623        0.128684
FIRE:   55 16:39:29    -2337.971924        0.131930
FIRE:   56 16:39:29    -2337.982422        0.135891
FIRE:   57 16:39:29    -2337.991699        0.140514
FIRE:   58 16:39:29    -2338.008789        0.146142
FIRE:   59 16:39:29    -2338.024414        0.153835
FIRE:   60 16:39:30    -2338.043701        0.165114
FIRE:   61 16:39:30    -2338.063232        0.181350
FIRE:   62 16:39:30    -2338.090332        0.203376
FIRE:   63 16:39:30    -2338.123779        0.234274
FIRE:   64 16:39:30    -2338.168213        0.279999
FIRE:   65 16:39:30    -2338.231689        0.349400
FIRE:   66 16:39:30    -2338.319336        0.445311
FIRE:   67 16:39:30    -2338.425049        0.488104
FIRE:   68 16:39:30    -2338.526367        0.375675
FIRE:   69 16:39:30    -2338.596191        0.298860
FIRE:   70 16:39:31    -2338.645996        0.320344
FIRE:   71 16:39:31    -2338.694336        0.244664
FIRE:   72 16:39:31    -2338.741699        0.302942
FIRE:   73 16:39:31    -2338.791748        0.343756
FIRE:   74 16:39:31    -2338.860840        0.377743
FIRE:   75 16:39:31    -2338.945801        0.334886
FIRE:   76 16:39:31    -2339.017090        0.174336
FIRE:   77 16:39:31    -2339.051758        0.153470
FIRE:   78 16:39:31    -2339.046875        0.484553
FIRE:   79 16:39:31    -2339.081299        0.386538
FIRE:   80 16:39:32    -2339.093018        0.275622
FIRE:   81 16:39:32    -2339.096680        0.157143
FIRE:   82 16:39:32    -2339.099609        0.099237
FIRE:   83 16:39:32    -2339.100098        0.177295
FIRE:   84 16:39:32    -2339.100586        0.158128
FIRE:   85 16:39:32    -2339.101562        0.121964
FIRE:   86 16:39:32    -2339.102539        0.087106
FIRE:   87 16:39:32    -2339.103271        0.085533
FIRE:   88 16:39:32    -2339.104248        0.083355
FIRE:   89 16:39:32    -2339.104736        0.080521
FIRE:   90 16:39:33    -2339.105713        0.099289
FIRE:   91 16:39:33    -2339.106934        0.102563
FIRE:   92 16:39:33    -2339.108643        0.081075
FIRE:   93 16:39:33    -2339.110840        0.059963
FIRE:   94 16:39:33    -2339.113037        0.058344
FIRE:   95 16:39:33    -2339.115234        0.071713
FIRE:   96 16:39:33    -2339.116211        0.077857
FIRE:   97 16:39:33    -2339.122070        0.055158
FIRE:   98 16:39:33    -2339.123535        0.053464
FIRE:   99 16:39:33    -2339.128906        0.070678
FIRE:  100 16:39:34    -2339.134766        0.048862
