Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2299.434    -2320.559       21.125   391.9
0.0020        -2299.252    -2320.260       21.008   389.8
0.0040        -2299.173    -2319.404       20.230   375.3
0.0060        -2298.669    -2318.094       19.425   360.4
0.0080        -2298.386    -2316.427       18.041   334.7
0.0100        -2298.221    -2314.591       16.370   303.7
0.0120        -2298.115    -2312.787       14.672   272.2
0.0140        -2298.001    -2311.220       13.220   245.3
0.0160        -2297.598    -2309.928       12.330   228.7
0.0180        -2296.996    -2308.956       11.960   221.9
0.0200        -2296.591    -2308.279       11.689   216.9
0.0220        -2295.951    -2307.831       11.880   220.4
0.0240        -2295.482    -2307.548       12.066   223.9
0.0260        -2294.823    -2307.367       12.544   232.7
0.0280        -2294.626    -2307.222       12.596   233.7
0.0300        -2294.209    -2307.040       12.830   238.0
0.0320        -2294.070    -2306.802       12.732   236.2
0.0340        -2293.812    -2306.562       12.750   236.6
0.0360        -2293.541    -2306.334       12.792   237.3
0.0380        -2293.251    -2306.123       12.872   238.8
0.0400        -2293.050    -2305.960       12.911   239.5
0.0420        -2292.551    -2305.837       13.286   246.5
0.0440        -2292.096    -2305.743       13.647   253.2
0.0460        -2291.782    -2305.689       13.907   258.0
0.0480        -2291.266    -2305.663       14.397   267.1
0.0500        -2290.612    -2305.618       15.006   278.4
0.0520        -2290.099    -2305.504       15.405   285.8
0.0540        -2290.170    -2305.381       15.211   282.2
0.0560        -2289.964    -2305.255       15.291   283.7
0.0580        -2289.846    -2305.119       15.272   283.3
0.0600        -2289.653    -2304.967       15.314   284.1
0.0620        -2289.797    -2304.835       15.038   279.0
0.0640        -2289.488    -2304.705       15.217   282.3
0.0660        -2289.112    -2304.591       15.479   287.2
0.0680        -2289.141    -2304.493       15.352   284.8
0.0700        -2289.170    -2304.395       15.225   282.5
0.0720        -2288.868    -2304.286       15.418   286.0
0.0740        -2288.768    -2304.202       15.433   286.3
0.0760        -2288.642    -2304.096       15.454   286.7
0.0780        -2288.462    -2303.945       15.482   287.2
0.0800        -2288.160    -2303.797       15.638   290.1
0.0820        -2287.838    -2303.694       15.856   294.2
0.0840        -2287.521    -2303.605       16.085   298.4
0.0860        -2287.491    -2303.516       16.024   297.3
0.0880        -2287.304    -2303.444       16.140   299.4
0.0900        -2286.408    -2303.367       16.959   314.6
0.0920        -2286.154    -2303.301       17.147   318.1
0.0940        -2286.187    -2303.225       17.038   316.1
0.0960        -2286.006    -2303.177       17.172   318.6
0.0980        -2285.816    -2303.134       17.318   321.3
0.1000        -2285.712    -2303.055       17.344   321.8
0.1020        -2285.322    -2302.925       17.604   326.6
0.1040        -2285.704    -2302.792       17.088   317.0
0.1060        -2285.839    -2302.675       16.836   312.4
0.1080        -2285.536    -2302.559       17.023   315.8
0.1100        -2285.632    -2302.480       16.848   312.6
0.1120        -2285.465    -2302.414       16.950   314.5
0.1140        -2285.249    -2302.344       17.095   317.2
0.1160        -2285.155    -2302.281       17.125   317.7
0.1180        -2284.925    -2302.195       17.270   320.4
0.1200        -2284.658    -2302.059       17.401   322.8
0.1220        -2284.366    -2301.875       17.509   324.8
0.1240        -2284.330    -2301.691       17.361   322.1
0.1260        -2284.012    -2301.514       17.502   324.7
0.1280        -2283.925    -2301.345       17.420   323.2
0.1300        -2283.910    -2301.216       17.306   321.1
0.1320        -2283.619    -2301.150       17.531   325.2
0.1340        -2283.121    -2301.211       18.089   335.6
0.1360        -2282.947    -2301.356       18.410   341.5
0.1380        -2282.921    -2301.583       18.663   346.2
0.1400        -2282.714    -2301.834       19.121   354.7
0.1420        -2283.112    -2302.053       18.941   351.4
0.1440        -2283.063    -2302.167       19.103   354.4
0.1460        -2282.856    -2302.126       19.270   357.5
0.1480        -2282.648    -2301.964       19.316   358.4
0.1500        -2282.492    -2301.707       19.215   356.5
0.1520        -2282.355    -2301.432       19.076   353.9
0.1540        -2282.161    -2301.171       19.010   352.7
0.1560        -2282.030    -2300.937       18.907   350.8
0.1580        -2281.925    -2300.753       18.828   349.3
0.1600        -2282.059    -2300.671       18.612   345.3
0.1620        -2281.857    -2300.737       18.880   350.3
0.1640        -2281.742    -2300.870       19.128   354.9
0.1660        -2281.084    -2301.034       19.950   370.1
0.1680        -2281.115    -2301.201       20.085   372.6
0.1700        -2280.950    -2301.383       20.432   379.1
0.1720        -2280.850    -2301.523       20.673   383.5
0.1740        -2280.751    -2301.570       20.819   386.2
0.1760        -2280.769    -2301.518       20.748   384.9
0.1780        -2280.949    -2301.402       20.453   379.5
0.1800        -2280.949    -2301.255       20.306   376.7
0.1820        -2281.033    -2301.101       20.068   372.3
0.1840        -2280.658    -2300.953       20.295   376.5
0.1860        -2280.342    -2300.809       20.467   379.7
0.1880        -2280.626    -2300.636       20.010   371.2
0.1900        -2280.262    -2300.480       20.218   375.1
0.1920        -2280.194    -2300.370       20.176   374.3
0.1940        -2280.082    -2300.278       20.196   374.7
0.1960        -2280.159    -2300.219       20.060   372.2
0.1980        -2280.007    -2300.171       20.164   374.1
0.2000        -2280.128    -2300.117       19.989   370.8
0.2020        -2279.972    -2300.042       20.070   372.3
0.2040        -2280.136    -2299.954       19.818   367.7
0.2060        -2280.034    -2299.914       19.880   368.8
0.2080        -2279.801    -2299.908       20.108   373.0
0.2100        -2279.483    -2299.952       20.470   379.8
0.2120        -2279.422    -2299.994       20.572   381.7
0.2140        -2279.434    -2299.999       20.565   381.5
0.2160        -2279.586    -2299.913       20.327   377.1
0.2180        -2279.225    -2299.767       20.543   381.1
0.2200        -2279.330    -2299.608       20.278   376.2
