Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2290.687    -2320.557       29.870   600.2
0.0010        -2290.376    -2320.457       30.081   604.5
0.0020        -2290.397    -2320.158       29.762   598.0
0.0030        -2290.573    -2319.670       29.097   584.7
0.0040        -2290.678    -2319.004       28.326   569.2
0.0050        -2290.422    -2318.178       27.756   557.7
0.0060        -2290.220    -2317.210       26.991   542.4
0.0070        -2290.210    -2316.122       25.912   520.7
0.0080        -2290.269    -2314.958       24.689   496.1
0.0090        -2290.464    -2313.749       23.285   467.9
0.0100        -2290.340    -2312.539       22.199   446.1
0.0110        -2290.130    -2311.354       21.224   426.5
0.0120        -2289.969    -2310.222       20.253   407.0
0.0130        -2289.848    -2309.169       19.321   388.2
0.0140        -2289.421    -2308.217       18.796   377.7
0.0150        -2289.270    -2307.357       18.087   363.5
0.0160        -2288.964    -2306.590       17.626   354.2
0.0170        -2288.664    -2305.905       17.240   346.4
0.0180        -2288.334    -2305.288       16.954   340.7
0.0190        -2288.238    -2304.733       16.496   331.5
0.0200        -2287.814    -2304.241       16.427   330.1
0.0210        -2287.320    -2303.811       16.491   331.4
0.0220        -2287.080    -2303.428       16.348   328.5
0.0230        -2286.806    -2303.102       16.297   327.5
0.0240        -2286.674    -2302.808       16.134   324.2
0.0250        -2286.562    -2302.541       15.979   321.1
0.0260        -2286.134    -2302.294       16.160   324.7
0.0270        -2286.019    -2302.056       16.037   322.2
0.0280        -2285.560    -2301.832       16.272   327.0
0.0290        -2285.356    -2301.607       16.251   326.6
0.0300        -2285.133    -2301.400       16.267   326.9
0.0310        -2284.911    -2301.211       16.301   327.6
0.0320        -2284.794    -2301.028       16.234   326.2
0.0330        -2284.706    -2300.853       16.147   324.5
0.0340        -2284.430    -2300.694       16.264   326.8
0.0350        -2284.214    -2300.537       16.323   328.0
0.0360        -2283.855    -2300.384       16.529   332.1
0.0370        -2283.365    -2300.256       16.891   339.4
0.0380        -2283.118    -2300.163       17.044   342.5
0.0390        -2282.669    -2300.078       17.410   349.8
0.0400        -2282.658    -2300.008       17.350   348.6
0.0410        -2282.632    -2299.961       17.330   348.2
0.0420        -2282.444    -2299.923       17.479   351.2
0.0430        -2282.460    -2299.904       17.443   350.5
0.0440        -2282.209    -2299.917       17.707   355.8
0.0450        -2282.056    -2299.953       17.897   359.6
0.0460        -2281.500    -2300.020       18.521   372.2
0.0470        -2281.300    -2300.102       18.802   377.8
0.0480        -2281.044    -2300.198       19.154   384.9
0.0490        -2280.956    -2300.294       19.339   388.6
0.0500        -2281.045    -2300.370       19.324   388.3
0.0510        -2280.872    -2300.445       19.573   393.3
0.0520        -2280.315    -2300.485       20.170   405.3
