Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000        -2289.035    -2328.747       39.713   736.8
0.0010        -2288.922    -2328.612       39.689   736.3
0.0020        -2288.994    -2328.200       39.207   727.4
0.0030        -2289.006    -2327.521       38.514   714.5
0.0040        -2289.034    -2326.593       37.559   696.8
0.0050        -2289.047    -2325.443       36.396   675.2
0.0060        -2289.128    -2324.101       34.973   648.8
0.0070        -2289.315    -2322.605       33.290   617.6
0.0080        -2289.382    -2320.998       31.616   586.6
0.0090        -2289.458    -2319.323       29.865   554.1
0.0100        -2289.356    -2317.626       28.270   524.5
0.0110        -2289.381    -2315.951       26.570   492.9
0.0120        -2289.323    -2314.340       25.017   464.1
0.0130        -2289.350    -2312.833       23.483   435.7
0.0140        -2289.242    -2311.463       22.221   412.3
0.0150        -2289.204    -2310.250       21.046   390.5
0.0160        -2289.175    -2309.204       20.029   371.6
0.0170        -2289.092    -2308.339       19.247   357.1
0.0180        -2288.894    -2307.639       18.745   347.8
0.0190        -2288.804    -2307.101       18.297   339.5
0.0200        -2288.766    -2306.710       17.944   332.9
0.0210        -2288.691    -2306.440       17.749   329.3
0.0220        -2288.617    -2306.274       17.657   327.6
0.0230        -2288.617    -2306.185       17.568   325.9
0.0240        -2288.638    -2306.155       17.517   325.0
0.0250        -2288.536    -2306.160       17.624   327.0
0.0260        -2288.451    -2306.173       17.722   328.8
0.0270        -2288.509    -2306.183       17.674   327.9
0.0280        -2288.373    -2306.178       17.805   330.3
0.0290        -2288.277    -2306.153       17.876   331.6
0.0300        -2288.128    -2306.106       17.978   333.5
0.0310        -2288.123    -2306.039       17.916   332.4
0.0320        -2288.084    -2305.955       17.871   331.5
0.0330        -2288.117    -2305.861       17.744   329.2
0.0340        -2288.051    -2305.763       17.713   328.6
0.0350        -2287.988    -2305.669       17.681   328.0
0.0360        -2287.914    -2305.585       17.671   327.8
0.0370        -2287.769    -2305.528       17.759   329.5
0.0380        -2287.570    -2305.501       17.930   332.6
0.0390        -2287.515    -2305.501       17.986   333.7
0.0400        -2287.480    -2305.537       18.056   335.0
0.0410        -2287.339    -2305.611       18.272   339.0
0.0420        -2287.361    -2305.737       18.376   340.9
0.0430        -2287.381    -2305.898       18.518   343.5
0.0440        -2287.363    -2306.093       18.730   347.5
0.0450        -2287.320    -2306.315       18.995   352.4
0.0460        -2287.338    -2306.553       19.215   356.5
0.0470        -2287.372    -2306.800       19.429   360.4
0.0480        -2287.391    -2307.045       19.654   364.6
0.0490        -2287.334    -2307.281       19.947   370.1
0.0500        -2287.291    -2307.495       20.204   374.8
0.0510        -2287.176    -2307.681       20.506   380.4
0.0520        -2287.094    -2307.834       20.741   384.8
0.0530        -2287.095    -2307.952       20.856   386.9
0.0540        -2287.026    -2308.032       21.006   389.7
0.0550        -2286.788    -2308.070       21.282   394.8
0.0560        -2286.671    -2308.069       21.398   397.0
0.0570        -2286.758    -2308.031       21.273   394.7
0.0580        -2286.760    -2307.962       21.203   393.4
0.0590        -2286.742    -2307.873       21.131   392.0
0.0600        -2286.578    -2307.770       21.191   393.1
0.0610        -2286.509    -2307.657       21.148   392.4
0.0620        -2286.525    -2307.540       21.015   389.9
0.0630        -2286.523    -2307.417       20.894   387.6
0.0640        -2286.510    -2307.301       20.791   385.7
0.0650        -2286.459    -2307.196       20.738   384.7
0.0660        -2286.395    -2307.104       20.708   384.2
0.0670        -2286.375    -2307.025       20.649   383.1
0.0680        -2286.429    -2306.964       20.534   381.0
0.0690        -2286.470    -2306.917       20.447   379.3
0.0700        -2286.488    -2306.880       20.392   378.3
0.0710        -2286.462    -2306.854       20.392   378.3
0.0720        -2286.393    -2306.837       20.445   379.3
0.0730        -2286.413    -2306.832       20.419   378.8
0.0740        -2286.365    -2306.833       20.468   379.7
0.0750        -2286.383    -2306.841       20.458   379.6
0.0760        -2286.461    -2306.850       20.390   378.3
0.0770        -2286.420    -2306.860       20.441   379.2
0.0780        -2286.407    -2306.867       20.460   379.6
0.0790        -2286.371    -2306.863       20.492   380.2
0.0800        -2286.384    -2306.855       20.471   379.8
0.0810        -2286.326    -2306.847       20.521   380.7
0.0820        -2286.342    -2306.841       20.499   380.3
0.0830        -2286.231    -2306.832       20.601   382.2
0.0840        -2286.195    -2306.829       20.633   382.8
0.0850        -2286.187    -2306.822       20.635   382.8
0.0860        -2286.225    -2306.813       20.589   382.0
0.0870        -2286.225    -2306.811       20.587   381.9
0.0880        -2286.162    -2306.817       20.655   383.2
0.0890        -2286.095    -2306.829       20.735   384.7
0.0900        -2286.010    -2306.847       20.838   386.6
0.0910        -2286.010    -2306.870       20.860   387.0
0.0920        -2286.017    -2306.892       20.876   387.3
0.0930        -2286.026    -2306.922       20.895   387.7
0.0940        -2286.072    -2306.960       20.888   387.5
0.0950        -2286.019    -2307.007       20.988   389.4
0.0960        -2285.999    -2307.063       21.064   390.8
0.0970        -2285.983    -2307.127       21.144   392.3
0.0980        -2285.942    -2307.190       21.249   394.2
0.0990        -2285.815    -2307.260       21.445   397.9
0.1000        -2285.975    -2307.338       21.363   396.3
0.1010        -2286.022    -2307.423       21.401   397.0
0.1020        -2285.825    -2307.513       21.688   402.4
0.1030        -2285.788    -2307.600       21.812   404.7
0.1040        -2285.780    -2307.685       21.905   406.4
0.1050        -2285.783    -2307.761       21.979   407.8
0.1060        -2285.878    -2307.816       21.938   407.0
0.1070        -2285.891    -2307.855       21.964   407.5
0.1080        -2285.783    -2307.885       22.101   410.0
0.1090        -2285.657    -2307.898       22.242   412.6
0.1100        -2285.596    -2307.901       22.305   413.8
0.1110        -2285.640    -2307.892       22.252   412.8
0.1120        -2285.630    -2307.874       22.243   412.7
0.1130        -2285.755    -2307.842       22.088   409.8
0.1140        -2285.698    -2307.807       22.109   410.2
0.1150        -2285.615    -2307.770       22.154   411.0
0.1160        -2285.585    -2307.727       22.142   410.8
0.1170        -2285.573    -2307.685       22.111   410.2
0.1180        -2285.567    -2307.643       22.077   409.6
0.1190        -2285.397    -2307.602       22.205   412.0
0.1200        -2285.385    -2307.561       22.176   411.4
0.1210        -2285.265    -2307.521       22.256   412.9
0.1220        -2285.392    -2307.471       22.079   409.6
0.1230        -2285.369    -2307.411       22.042   408.9
0.1240        -2285.463    -2307.334       21.871   405.8
0.1250        -2285.465    -2307.245       21.781   404.1
0.1260        -2285.376    -2307.153       21.777   404.0
0.1270        -2285.475    -2307.053       21.578   400.3
0.1280        -2285.468    -2306.954       21.486   398.6
0.1290        -2285.509    -2306.856       21.347   396.0
0.1300        -2285.497    -2306.771       21.274   394.7
0.1310        -2285.419    -2306.710       21.290   395.0
0.1320        -2285.253    -2306.675       21.422   397.4
0.1330        -2285.185    -2306.673       21.488   398.7
0.1340        -2285.151    -2306.698       21.547   399.7
0.1350        -2285.228    -2306.748       21.520   399.2
0.1360        -2285.079    -2306.820       21.741   403.3
0.1370        -2285.047    -2306.916       21.869   405.7
0.1380        -2285.116    -2307.034       21.918   406.6
0.1390        -2285.034    -2307.157       22.124   410.4
0.1400        -2284.991    -2307.278       22.287   413.5
0.1410        -2284.825    -2307.401       22.576   418.8
0.1420        -2284.679    -2307.521       22.843   423.8
0.1430        -2284.826    -2307.635       22.810   423.2
0.1440        -2285.029    -2307.741       22.712   421.4
0.1450        -2285.029    -2307.839       22.810   423.2
0.1460        -2284.911    -2307.919       23.009   426.9
0.1470        -2284.942    -2307.986       23.044   427.5
0.1480        -2284.999    -2308.041       23.041   427.5
0.1490        -2284.950    -2308.081       23.131   429.1
0.1500        -2285.001    -2308.112       23.112   428.8
0.1510        -2285.005    -2308.135       23.130   429.1
0.1520        -2284.842    -2308.145       23.303   432.3
0.1530        -2284.747    -2308.150       23.403   434.2
0.1540        -2284.719    -2308.143       23.424   434.6
0.1550        -2284.734    -2308.131       23.397   434.1
0.1560        -2284.690    -2308.105       23.415   434.4
0.1570        -2284.761    -2308.073       23.312   432.5
0.1580        -2284.787    -2308.048       23.261   431.6
0.1590        -2284.866    -2308.021       23.154   429.6
0.1600        -2284.737    -2307.990       23.254   431.4
0.1610        -2284.599    -2307.957       23.358   433.4
0.1620        -2284.566    -2307.923       23.357   433.3
0.1630        -2284.515    -2307.879       23.365   433.5
0.1640        -2284.494    -2307.828       23.333   432.9
0.1650        -2284.418    -2307.771       23.353   433.3
0.1660        -2284.340    -2307.712       23.373   433.6
0.1670        -2284.432    -2307.643       23.211   430.6
0.1680        -2284.425    -2307.561       23.135   429.2
0.1690        -2284.377    -2307.470       23.093   428.4
0.1700        -2284.285    -2307.377       23.092   428.4
0.1710        -2284.049    -2307.283       23.234   431.0
