Label,Stem,Filename
T,Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_2/Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775/Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775.op
T,Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_4/Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600/Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T550K_3675/out_Resta.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_125/out_Resta.op
T,Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_3/Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425/Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_2200/out_Resta.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_3800/out_Resta.op
T,Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_3/Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125/Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125.op
T,Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_4/Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800/Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800.op
T,Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_2/Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200/Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200.op
T,Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_3/Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375/Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_350/out_Resta.op
T,Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_4/Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25/Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25.op
T,Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000.op,/home/mehuldarak/athena/dftfe_logs/completedRuns_4/Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000/Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_25/out_Resta.op
T,out_Resta.op,/home/mehuldarak/athena/dftfe_logs/completedRunsLLZO_trial0/completedRuns/completed_Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_12100/out_Resta.op
