Filename,REF_energy,Cohesive_energy
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_12100.cif,-2267.31298828125,-1900.47548744125
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T1100K_14500.cif,-2275.783935546875,-1908.946434706875
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_125.cif,-2313.782958984375,-1946.945458144375
Li_100_slab__LLZO_001_Zr_code93_sto_bestgap_3.00A_r_T550K_4800.cif,-2310.44482421875,-1943.60732337875
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_2200.cif,-2164.9306640625,-1819.6234380625
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_350.cif,-2181.47802734375,-1836.17080134375
Li_100_slab__LLZO_010_La_order0_off_bestgap_2.50A_r_T1100K_3800.cif,-2161.738037109375,-1816.430811109375
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T1100K_5000.cif,-2287.421630859375,-1920.584130019375
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_1300.cif,-2326.64892578125,-1959.81142494125
Li_100_slab__LLZO_011_La_code71_sto_bestgap_3.00A_r_T550K_25.cif,-2332.85546875,-1966.01796791
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T1100K_75.cif,-2173.70556640625,-1832.68530508625
Li_100_slab__LLZO_110_Li_order17_off_bestgap_2.50A_r_T550K_2600.cif,-2178.419921875,-1837.399660555
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T1100K_200.cif,-4380.71826171875,-3682.74893003875
Li_110_slab__LLZO_001_Zr_code93_sto_bestgap_2.50A_r_T550K_3675.cif,-4399.43115234375,-3701.46182066375
Li_110_slab__LLZO_010_La_order0_off_bestgap_2.00A_r_T1100K_4775.cif,-4113.9228515625,-3459.0140695625
Li_110_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_50.cif,-4453.15380859375,-3755.18447691375
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_25.cif,-4119.76953125,-3473.43467861
Li_110_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_375.cif,-4118.3896484375,-3472.0547957975
Li_111_slab__LLZO_011_La_code71_sto_bestgap_2.50A_r_T550K_125.cif,-8624.1748046875,-7272.8682288274995
Li_111_slab__LLZO_110_Li_order17_off_bestgap_2.00A_r_T1100K_3425.cif,-7905.396484375,-6657.358866595
